BARBRI Review Session (Rm 260),12/4/2004,9:00 AM,12/4/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BARRISTER'S BALL - Signature Room,4/16/2005,1:00 AM,4/16/2005,1:00 AM,FALSE,FALSE,
Bedore (Federal Tax Procedure - Oral arguments (Room 160),4/13/2005,3:00 PM,4/13/2005,5:00 PM,FALSE,FALSE,ACADEMIC CALENDAR
Benker Office Hours Rm 320,10/19/2004,4:00 PM,10/19/2004,5:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Benker Office Hours Rm 320,10/26/2004,4:00 PM,10/26/2004,5:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Benker Office Hours Rm 320,11/2/2004,4:00 PM,11/2/2004,5:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Benker Office Hours Rm 320,11/9/2004,4:00 PM,11/9/2004,5:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Benker Office Hours Rm 320,11/16/2004,4:00 PM,11/16/2004,5:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Benker Office Hours Rm 320,11/23/2004,4:00 PM,11/23/2004,5:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Big Sib BBQ - 474 North Lake Shore Drive 16th Floor,8/26/2005,6:00 PM,8/26/2005,9:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLS Tax Certificate Program Room 160,11/8/2004,12:00 PM,11/8/2004,1:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA ALUMNI DINNER - Kasbeer Hall,3/19/2005,5:00 PM,3/19/2005,1:00 AM,FALSE,FALSE,
BLSA Committee Meeting (Rm 320),11/9/2004,1:00 PM,11/9/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA Community Service Committee Mtg (Room 230),1/20/2005,1:00 PM,1/20/2005,2:15 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA Holiday Potluck - Rubloff Reception Area,12/3/2004,6:00 PM,12/3/2004,8:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA Mock Trial Team (Rm 160),11/7/2004,4:00 PM,11/7/2004,9:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA Mock Trial Team (Rm 160),11/14/2004,4:00 PM,11/14/2004,9:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA Mock Trial Team (Rm 160),11/21/2004,4:00 PM,11/21/2004,9:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA Mock Trial Team (Rm 160),12/5/2004,4:00 PM,12/5/2004,9:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA Mock Trial Team (Rm 160),12/12/2004,4:00 PM,12/12/2004,9:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA Mock Trial Team (Rm 160),12/19/2004,4:00 PM,12/19/2004,9:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA Monthly Meeting (Rm 240),12/11/2004,12:00 PM,12/11/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA Monthly Meeting Room 240,1/15/2005,12:00 PM,1/15/2005,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
BLSA Reception (Faculty Lounge),12/4/2004,10:00 AM,12/4/2004,1:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Blum-Managed Care (Rm 320),11/30/2004,2:00 PM,11/30/2004,5:00 PM,FALSE,FALSE,
Bruce/Kim Office Hours,10/26/2004,1:00 PM,10/26/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Bruce/Kim Office Hours,11/2/2004,1:00 PM,11/2/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Bruce/Kim Office Hours,11/9/2004,1:00 PM,11/9/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Bruce/Kim Office Hours,11/23/2004,1:00 PM,11/23/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Bruce/Kim Office Hours (Rm 322),11/16/2004,1:00 PM,11/16/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Bruce/Kim Office Hours Rm 322,10/19/2004,1:00 PM,10/19/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Bruce/Kim Office Hours Rm 322,10/21/2004,1:00 PM,10/21/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Bruce/Kim Office Hours Rm 322,10/28/2004,1:00 PM,10/28/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Bruce/Kim Office Hours Rm 322,11/4/2004,1:00 PM,11/4/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Bruce/Kim Office Hours Rm 322,11/11/2004,1:00 PM,11/11/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Bruce/Kim Office Hours Rm 322,11/18/2004,1:00 PM,11/18/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Budzictz Office Hours Rm 332,10/22/2004,11:00 AM,10/22/2004,12:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Budzictz Office Hours Rm 332,10/29/2004,11:00 AM,10/29/2004,12:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Budzictz Office Hours Rm 332,11/5/2004,11:00 AM,11/5/2004,12:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Budzictz Office Hours Rm 332,11/12/2004,11:00 AM,11/12/2004,12:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Budzictz Office Hours Rm 332,11/19/2004,11:00 AM,11/19/2004,12:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Budzicz's Office Hours (Rm 332),10/18/2004,11:00 AM,10/18/2004,12:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
